State,Year,Month,ActivityLevel,Temp,Precipitation,PMDI
Oregon,2010,11,1,40.9,1.86,-2.37
Oregon,2010,12,1,44.6,2.17,-2.22
Oregon,2011,1,1,52.5,2.42,-1.67
Oregon,2011,2,2,59.5,1.49,-1.57
Oregon,2011,3,2,69.4,0.2,-1.79
Oregon,2011,4,1,66.5,0.86,-1.74
Oregon,2011,5,1,58.3,4.23,1.86
Oregon,2011,6,1,46.2,0.99,0.47
Oregon,2011,7,1,39.4,2.39,-1.25
Oregon,2011,8,1,29.7,1.89,-2.29
Oregon,2011,9,1,36.7,2.35,-3.12
Oregon,2011,10,1,35.3,5.78,-0.79
Oregon,2009,9,1,41.8,5.52,0.99
Oregon,2009,10,7,45.8,2.52,1
Oregon,2009,11,9,53.3,1.8,0.5
Oregon,2009,12,1,58.1,1.14,0.04
Oregon,2010,1,1,70,0.5,-0.52
Oregon,2010,2,1,66.6,0.67,-0.84
Oregon,2010,3,1,60.8,1.14,-0.96
Oregon,2010,4,1,52.9,3.5,-0.43
Oregon,2010,5,1,38.2,4.14,-0.56
Oregon,2010,6,1,36,6.22,0.16
Oregon,2010,7,1,38.1,1.98,-1.79
Oregon,2010,8,1,41.7,3.58,-2.01
Oregon,2010,9,0,45.7,2.59,-2.65
Oregon,2010,10,1,44.7,1.55,-2.8
Oregon,2009,1,1,53.5,2.17,-2.58
Oregon,2009,2,2,65.6,0.42,-3.17
Oregon,2009,3,7,67.5,0.76,-3.51
Oregon,2009,4,1,66.9,0.38,-3.69
Oregon,2009,5,2,58.1,0.83,-3.64
Oregon,2009,6,1,54.3,1.93,-3.83
Oregon,2009,7,1,35.8,3.85,-3.79
Oregon,2009,8,1,32.4,10.13,0.17
Washington,2015,11,1,30.1,6.23,-1.2
Washington,2015,12,1,33.1,1.98,-2.19
Washington,2014,11,1,35.3,4.89,-1.03
Washington,2014,12,2,44.1,2.66,-0.88
Washington,2015,1,9,52.3,3.12,0.29
Washington,2015,2,5,59.9,0.96,-0.7
Washington,2015,3,2,67.5,0.66,-1.14
Washington,2015,4,1,65.4,0.86,-1.63
Washington,2015,5,1,59.9,1.65,-1.75
Washington,2015,6,1,44.2,5.57,0.19
Washington,2015,7,1,38,7.93,1.22
Washington,2015,8,1,26.6,3.39,-1.12
Washington,2015,9,1,36.3,6.24,-1.05
Washington,2015,10,2,38.5,3.38,-1.58
Washington,2013,11,1,40.9,3.72,-1.77
Washington,2013,12,1,44.6,4.04,-0.07
Washington,2014,1,5,48.7,4.28,1.69
Washington,2014,2,4,55.9,3.28,2.32
Washington,2014,3,1,64.2,0.41,2.32
Washington,2014,3,2,63.5,0.74,2.07
Washington,2014,5,1,57.1,3.46,2.65
Washington,2014,5,1,48.6,4.29,2.66
Washington,2014,6,1,34.8,5.78,2.38
Washington,2014,8,2,31.9,7.71,2.52
Washington,2014,8,1,32.1,6.53,2.4
Washington,2014,9,1,31.1,4.09,1.67
Washington,2012,11,1,38.4,7.81,3.17
Washington,2012,12,1,40.2,4.67,3.96
Washington,2013,1,7,48.6,4.09,4.64
Washington,2013,2,6,55.5,1.44,3.91
Washington,2013,3,3,61,1.06,3.98
Washington,2013,3,1,64.9,0.2,2.76
Washington,2013,5,1,61,1.29,1.39
Washington,2013,6,1,47.2,3.34,0.67
Washington,2013,6,1,35.3,6.1,0.59
Washington,2013,8,1,31,3.2,-1.86
Washington,2013,8,1,30.7,6.35,-1.4
Washington,2013,9,1,34.5,4.76,-1.2
Washington,2011,11,1,37.6,7.87,1.52
Washington,2011,12,1,46,3.93,1.82
Washington,2012,1,1,50.9,2.31,1.74
Washington,2012,2,3,55,3.93,2.69
Washington,2012,3,3,65.2,1.43,3.25
Washington,2012,3,3,66.2,0.1,2.58
Washington,2012,5,6,59.7,0.16,0.18
Washington,2012,6,1,47.4,6.47,2.04
Washington,2012,6,0,39,7.31,2.51
Washington,2012,8,0,32.5,8.25,2.79
Washington,2012,9,0,29.1,3.97,1.05
Washington,2012,9,0,35.5,2.76,-0.87
Washington,2010,11,1,40.2,3.75,-1.49
Washington,2010,12,1,44.7,4.23,0.48
Washington,2011,1,1,53.5,3.01,0.92
Washington,2011,2,3,58.7,2.26,1.02
Washington,2011,3,5,67.2,0.16,0.29
Washington,2011,4,1,66.2,1.6,0.37
Washington,2011,5,1,59.7,5.6,2.32
Washington,2011,6,1,46.1,1.37,0.8
Washington,2011,7,0,36.7,4.03,-0.74
Washington,2011,8,1,28.2,2.94,-2.23
Washington,2011,9,0,34.1,4.42,-2.53
Washington,2011,10,0,29.8,6.28,-0.8
Washington,2009,9,9,40.1,7.78,1.87
Washington,2009,10,7,45.8,3.78,2.08
Washington,2009,11,8,54.3,2.44,1.8
Washington,2009,12,1,58.3,1.73,1.34
Washington,2010,1,1,68.6,0.77,0.7
Washington,2010,2,1,67.3,1.47,0.46
Washington,2010,3,1,59.9,1.8,-0.15
Washington,2010,4,1,51.9,6.01,0.99
Washington,2010,5,1,36.3,6.1,0.98
Washington,2010,6,1,34.2,6.23,0.29
Washington,2010,7,1,35.1,4.96,-0.58
Washington,2010,8,1,40.7,4.3,-0.89
Washington,2010,9,1,44.8,4.32,-1.09
Washington,2010,10,0,45.7,1.82,-1.48
Washington,2009,1,1,56,1.51,-1.86
Washington,2009,2,1,65.5,0.47,-2.79
Washington,2009,3,3,68.6,0.42,-3.76
Washington,2009,4,1,66.6,1.33,-3.73
Washington,2009,5,4,56.2,1.5,-3.61
Washington,2009,6,1,52.4,4.18,-3.41
Washington,2009,7,1,36,7.02,-2.32
Washington,2009,8,1,32.1,11.42,1.57
Montana,2015,11,1,21.1,1.34,0.86
Montana,2015,12,1,25.1,0.74,0.59
Montana,2014,11,1,28.3,1.72,0.96
Montana,2014,12,1,39.9,1.94,1.35
Montana,2015,1,3,50.5,1.34,-0.47
Montana,2015,2,2,56.6,2.15,-0.82
Montana,2015,3,1,64.6,2.03,-0.41
Montana,2015,4,1,63.4,1.86,0.72
Montana,2015,5,1,60.7,0.55,-0.87
Montana,2015,6,1,36.4,2.17,1.17
Montana,2015,7,1,35.2,0.56,-0.54
Montana,2015,8,1,12,1.05,-0.62
Montana,2015,9,1,20.6,1.08,-0.74
Montana,2015,10,1,21.1,0.5,-1.15
Montana,2013,11,1,36.2,0.74,-2.01
Montana,2013,12,1,41.6,2.08,-1.49
Montana,2014,1,5,46.3,3.93,1.39
Montana,2014,2,1,57.5,3.66,1.92
Montana,2014,3,1,64.3,1.51,2.23
Montana,2014,3,1,63.8,2.18,3.04
Montana,2014,5,1,54.1,1.87,3.23
Montana,2014,5,1,47.6,0.91,1.96
Montana,2014,6,1,26.6,1.92,2.96
Montana,2014,8,1,19,1.61,3.23
Montana,2014,8,1,19.1,1.77,3.69
Montana,2014,9,1,16.4,1.37,4.19
Montana,2012,11,1,28.6,1.62,4.62
Montana,2012,12,1,37.7,2.52,5.21
Montana,2013,1,1,47.1,5.7,7.14
Montana,2013,2,2,56.3,3.36,6.97
Montana,2013,3,1,66.6,1.39,6.63
Montana,2013,3,1,66.8,0.77,5.44
Montana,2013,5,1,58.3,0.47,2.98
Montana,2013,6,1,45.9,1.99,3.37
Montana,2013,6,1,30,1.08,2.7
Montana,2013,8,1,26.2,0.81,1.45
Montana,2013,8,1,25.1,1.23,0.65
Montana,2013,9,1,24.9,0.95,-0.1
Montana,2011,11,1,39.4,1.6,-1.39
Montana,2011,12,1,44.8,1.98,-1.57
Montana,2012,1,1,49.5,2.42,-1.33
Montana,2012,2,1,60.2,2.01,-1.92
Montana,2012,3,1,70.7,1.29,-2.25
Montana,2012,3,1,66.7,0.57,-3.02
Montana,2012,5,1,58.2,0.17,-3.97
Montana,2012,6,1,41,1.82,-2.33
Montana,2012,6,1,32.4,1.45,-1.77
Montana,2012,8,1,21.5,1.32,-1.57
Montana,2012,9,1,21.7,1.05,-1.89
Montana,2012,9,1,27.5,0.55,-2.71
Montana,2010,11,1,30.5,0.91,-3
Montana,2010,12,1,36.9,1.5,-2.32
Montana,2011,1,1,51.9,4.15,0.41
Montana,2011,2,2,59,3.12,1.06
Montana,2011,3,3,67.5,1.19,1.4
Montana,2011,4,1,67.3,1.46,1.25
Montana,2011,5,1,58.8,2.53,1.73
Montana,2011,6,1,40.8,1.19,1.69
Montana,2011,7,1,30.4,0.91,0.92
Montana,2011,8,1,16.4,1.46,0.93
Montana,2011,9,1,24.5,1.21,0.46
Montana,2011,10,1,14.7,1.71,1.39
Montana,2009,9,1,29.4,2.26,2.37
Montana,2009,10,7,41.1,1.47,2.18
Montana,2009,11,7,51.1,1.92,1.29
Montana,2009,12,1,56.5,3.2,1.91
Montana,2010,1,1,67.6,0.69,0.97
Montana,2010,2,1,64.8,3.7,2.86
Montana,2010,3,1,55.1,1.2,2.15
Montana,2010,4,1,47.9,0.96,0.79
Montana,2010,5,1,25.3,1.98,1.91
Montana,2010,6,1,25,1.3,1.92
Montana,2010,7,1,24.7,1.18,1.73
Montana,2010,8,1,26.9,0.9,1.55
Montana,2010,9,1,39.5,0.99,-0.19
Montana,2010,10,1,42.9,1.08,-1.08
Montana,2009,1,1,49.6,2.43,-0.67
Montana,2009,2,1,63.8,1.77,-1.75
Montana,2009,3,1,66.2,1.88,-1.72
Montana,2009,4,1,65.9,1.01,-2.08
Montana,2009,5,1,57.3,1.29,-2.22
Montana,2009,6,1,48,1.4,-2.2
Montana,2009,7,1,30,1.34,-1.97
Montana,2009,8,1,23.6,1.61,-1.52
Idaho,2015,11,1,25,2.72,-1.59
Idaho,2015,12,1,27.6,1.46,-2.17
Idaho,2014,11,1,31.4,3.17,-0.35
Idaho,2014,12,3,40.7,1.84,-0.26
Idaho,2015,1,10,50.8,2.03,-0.35
Idaho,2015,2,10,56.3,3.51,1.41
Idaho,2015,3,4,65.8,0.71,1.77
Idaho,2015,4,2,63.8,1.45,2.22
Idaho,2015,5,1,60.1,0.35,0.39
Idaho,2015,6,1,39.5,2.47,1.79
Idaho,2015,7,1,33,1.33,0.45
Idaho,2015,8,1,19.8,1.84,-0.99
Idaho,2015,9,1,28.2,2.54,-1.24
Idaho,2015,10,1,28.9,1.06,-1.91
Idaho,2013,11,1,35.2,1.86,-2.16
Idaho,2013,12,1,40,2.64,-0.69
Idaho,2014,1,10,44.1,2.77,1.23
Idaho,2014,2,3,55.5,3.24,2.08
Idaho,2014,3,1,64.2,0.52,2.28
Idaho,2014,3,1,62.8,0.83,2.41
Idaho,2014,5,1,56.4,0.94,1.77
Idaho,2014,5,1,47.5,2.49,2.12
Idaho,2014,6,0,30.5,3.03,2.26
Idaho,2014,8,0,26.7,4.22,2.81
Idaho,2014,8,0,24,2.79,2.65
Idaho,2014,9,0,24.3,1.93,1.71
Idaho,2012,11,1,33.4,3.88,2.88
Idaho,2012,12,2,36.4,3.18,3.66
Idaho,2013,1,5,45.8,3.15,4.19
Idaho,2013,2,5,54,1.96,4.02
Idaho,2013,3,1,64.3,0.55,3.89
Idaho,2013,3,1,66.1,0.51,2.99
Idaho,2013,5,1,59.6,0.39,1.06
Idaho,2013,6,1,45.4,2.83,2.02
Idaho,2013,6,1,30.5,1.99,1.31
Idaho,2013,8,1,24.8,1.53,-0.33
Idaho,2013,8,1,26.8,3.33,-0.35
Idaho,2013,9,1,28,1.78,-1.08
Idaho,2011,11,2,36.4,4.26,0.79
Idaho,2011,12,1,44.4,2.12,0.42
Idaho,2012,1,1,49,1.91,0.19
Idaho,2012,2,2,56.9,1.6,-0.07
Idaho,2012,3,3,68.5,0.93,-0.08
Idaho,2012,3,3,67.3,0.28,-0.86
Idaho,2012,5,2,58.4,0.32,-1.55
Idaho,2012,6,1,43.7,2.32,-0.45
Idaho,2012,6,1,36,2.75,-0.6
Idaho,2012,8,1,25.8,4.12,0.63
Idaho,2012,9,1,20.2,1.9,-0.33
Idaho,2012,9,2,27.5,1.07,-1.09
Idaho,2010,11,1,35.1,1.47,-1.66
Idaho,2010,12,1,40.1,1.81,-1.42
Idaho,2011,1,1,51,1.51,-1.77
Idaho,2011,2,5,59.3,1.35,-2.02
Idaho,2011,3,10,69.6,0.53,-2.51
Idaho,2011,4,2,67.6,0.71,-2.84
Idaho,2011,5,1,57.1,2.96,-0.27
Idaho,2011,6,1,42.1,0.85,-1.1
Idaho,2011,7,1,33.8,1.72,-2.44
Idaho,2011,8,1,21.1,1.76,-3.17
Idaho,2011,9,1,27.7,2.02,-3.91
Idaho,2011,10,1,28,3.68,-2.35
Idaho,2009,9,1,36.2,3.92,-0.3
Idaho,2009,10,10,41.6,2.15,0.06
Idaho,2009,11,7,51.6,1.26,-1.08
Idaho,2009,12,1,56.7,1.32,-1.63
Idaho,2010,1,1,69.3,0.39,-2.76
Idaho,2010,2,1,63.8,2.29,-0.81
Idaho,2010,3,1,57.6,1.53,-0.45
Idaho,2010,4,1,48.5,1.29,-1.39
Idaho,2010,5,1,31.1,3.32,-0.76
Idaho,2010,6,1,29.1,3.3,-0.33
Idaho,2010,7,1,28.7,2.06,-0.71
Idaho,2010,8,1,35.2,1.86,-1.49
Idaho,2010,9,1,40.8,1.51,-2.62
Idaho,2010,10,0,42.3,1.23,-2.86
Idaho,2009,1,1,51.8,2.89,-1.72
Idaho,2009,2,1,64.7,0.77,-2.88
Idaho,2009,3,1,65.1,1.37,-2.7
Idaho,2009,4,1,65.8,0.76,-2.68
Idaho,2009,5,1,57.2,1.31,-2.46
Idaho,2009,6,2,50.7,1.69,-2.59
Idaho,2009,7,1,29.9,2.51,-2.56
Idaho,2009,8,1,24.3,4.56,-1.03
North Dakota,2015,11,1,5,0.63,3.36
North Dakota,2015,12,1,11.4,1.04,3.95
North Dakota,2014,11,1,20,1.58,4.87
North Dakota,2014,12,1,39.3,1.1,4.73
North Dakota,2015,1,5,51.7,1.75,4.4
North Dakota,2015,2,4,60.7,2.97,4.28
North Dakota,2015,3,1,64.6,2.29,4.49
North Dakota,2015,4,1,64.5,1.93,4.43
North Dakota,2015,5,1,63.3,1.78,4.01
North Dakota,2015,6,1,38,2.72,5.36
North Dakota,2015,7,1,36.4,0.07,3.54
North Dakota,2015,8,1,7.4,1.1,4.74
North Dakota,2015,9,1,9.7,0.79,4.87
North Dakota,2015,10,1,9.3,0.56,4.82
North Dakota,2013,11,1,31.6,0.76,4.85
North Dakota,2013,12,1,47.2,1.58,4.47
North Dakota,2014,1,3,52.4,4.08,5.66
North Dakota,2014,2,1,63.1,3.61,5.75
North Dakota,2014,3,1,68.8,2.76,6.28
North Dakota,2014,3,1,69,2.4,6.41
North Dakota,2014,5,1,54.6,3.98,7.82
North Dakota,2014,5,1,48,1.09,7.33
North Dakota,2014,6,1,27.2,0.63,6.88
North Dakota,2014,8,1,9.6,1.24,7.34
North Dakota,2014,8,0,6.4,0.96,7.49
North Dakota,2014,9,0,10,0.33,7.01
North Dakota,2012,11,1,19.2,1.05,7.22
North Dakota,2012,12,1,39.1,1.87,7.4
North Dakota,2013,1,8,50.9,4.06,8.42
North Dakota,2013,2,4,62.4,3.89,8.45
North Dakota,2013,3,2,71.1,3.79,9.38
North Dakota,2013,3,1,68.6,2.46,9.49
North Dakota,2013,5,1,58.3,1.49,8.7
North Dakota,2013,6,1,48.4,1.06,7.71
North Dakota,2013,6,1,30.5,0.16,6.25
North Dakota,2013,8,1,23.1,0.32,5.35
North Dakota,2013,8,0,20,0.33,4.46
North Dakota,2013,9,0,21,0.51,4.18
North Dakota,2011,11,1,40.6,0.51,1.71
North Dakota,2011,12,1,45.8,2.06,1.38
North Dakota,2012,1,1,55,2.04,0.69
North Dakota,2012,2,1,65.5,2.62,-1.03
North Dakota,2012,3,1,74.1,2.21,-2.43
North Dakota,2012,3,1,67.4,1.52,-2.89
North Dakota,2012,5,1,58.2,0.2,-3.84
North Dakota,2012,6,1,41.2,1.97,-1.54
North Dakota,2012,6,1,27.5,0.68,-0.97
North Dakota,2012,8,1,13.3,0.44,-0.75
North Dakota,2012,9,1,11.4,0.34,-0.88
North Dakota,2012,9,1,16.8,0.52,-0.49
North Dakota,2010,11,1,17.6,0.97,0.13
North Dakota,2010,12,1,31.3,1.06,0.83
North Dakota,2011,1,1,53.4,5.5,3.33
North Dakota,2011,2,1,63.3,3.69,3.7
North Dakota,2011,3,6,68.3,2.2,4.07
North Dakota,2011,4,1,68.6,1.63,3.76
North Dakota,2011,5,1,62,2.76,4.15
North Dakota,2011,6,1,41.6,3.52,5.97
North Dakota,2011,7,1,26.2,0.21,5.19
North Dakota,2011,8,1,5.1,0.88,5.54
North Dakota,2011,9,1,8.5,0.41,5.24
North Dakota,2011,10,1,5.7,0.18,4.76
North Dakota,2009,9,2,22.7,0.43,4.48
North Dakota,2009,10,5,38.2,2.1,5.05
North Dakota,2009,11,10,53.7,2.38,5.01
North Dakota,2009,12,2,62.5,4.75,5.91
North Dakota,2010,1,1,66.8,1.57,5.68
North Dakota,2010,2,3,67,4.44,7.38
North Dakota,2010,3,3,57.8,1.19,6.66
North Dakota,2010,4,3,46.5,0.53,5.19
North Dakota,2010,5,2,20.2,0.46,4.6
North Dakota,2010,6,3,18.3,0.17,3.57
North Dakota,2010,7,1,16,0.48,3.26
North Dakota,2010,8,1,8.4,0.41,2.95
North Dakota,2010,9,1,33,0.42,2.02
North Dakota,2010,10,1,44.3,0.59,0.2
North Dakota,2009,1,1,52.4,4,2.38
North Dakota,2009,2,4,65.1,3.63,2.38
North Dakota,2009,3,7,69.9,2.65,2.51
North Dakota,2009,4,4,68,1.59,1.45
North Dakota,2009,5,4,62,1.57,0.61
North Dakota,2009,6,4,47.8,1.32,0.45
North Dakota,2009,7,1,32.5,0.49,0.02
North Dakota,2009,8,1,21.1,0.57,0.09
Nevada,2015,11,1,34.4,0.87,-3.52
Nevada,2015,12,2,35.3,1.14,-3.14
Nevada,2014,11,1,40.1,0.65,-3.28
Nevada,2014,12,2,46.1,1.05,-2.61
Nevada,2015,1,10,60.6,0.61,-3.27
Nevada,2015,2,6,62.4,1.84,-1.68
Nevada,2015,3,2,74.1,0.4,-2.34
Nevada,2015,4,2,70.3,0.35,-2.76
Nevada,2015,5,1,66.7,0.14,-3.15
Nevada,2015,6,1,47.9,0.78,-2.47
Nevada,2015,7,1,40.7,0.18,-3.21
Nevada,2015,8,1,26,1.21,-2.58
Nevada,2015,9,1,32.9,1.45,-1.66
Nevada,2015,10,1,35.9,1.03,-1.51
Nevada,2013,11,1,39.9,0.94,-1.52
Nevada,2013,12,3,44.2,1.27,-0.23
Nevada,2014,1,9,49.2,1.07,1.05
Nevada,2014,2,5,64.8,0.2,0.49
Nevada,2014,3,2,74.1,0.35,-0.03
Nevada,2014,3,1,69.9,0.25,-0.81
Nevada,2014,5,1,63.9,0.26,-1.43
Nevada,2014,5,1,52.9,2.23,1.33
Nevada,2014,6,1,37.4,1.19,1.52
Nevada,2014,8,1,35.7,2.82,2.89
Nevada,2014,8,1,32.9,0.29,1.79
Nevada,2014,9,1,32.9,0.83,1.88
Nevada,2012,11,1,40.6,1.57,2.49
Nevada,2012,12,1,44.4,1.22,2.74
Nevada,2013,1,4,50.8,1.53,3.53
Nevada,2013,2,6,62.4,0.55,3.99
Nevada,2013,3,7,71.9,0.5,4.48
Nevada,2013,3,3,72.5,0.23,3.5
Nevada,2013,5,1,65.6,0.48,2.71
Nevada,2013,6,1,52.4,0.93,2.53
Nevada,2013,6,1,37.6,0.38,1.28
Nevada,2013,8,1,30.9,0.11,-0.77
Nevada,2013,8,1,35,0.94,-1.74
Nevada,2013,9,1,34.6,0.53,-2.26
Nevada,2011,11,1,42.4,1.01,-2.53
Nevada,2011,12,1,49.9,0.67,-2.87
Nevada,2012,1,1,58,0.3,-4.13
Nevada,2012,2,2,66.2,0.09,-5.24
Nevada,2012,3,3,73.7,0.85,-5.29
Nevada,2012,3,2,74.3,1,-4.53
Nevada,2012,5,1,66.2,0.53,-4.42
Nevada,2012,6,1,53.4,0.67,-4.19
Nevada,2012,6,1,43.4,0.48,-4.45
Nevada,2012,8,1,31.3,1.81,-2.57
Nevada,2012,9,1,26,0.68,-2.8
Nevada,2012,9,1,33.3,0.38,-3.44
Nevada,2010,11,1,44.7,0.42,-4.08
Nevada,2010,12,3,48.4,0.51,-4.42
Nevada,2011,1,5,56.5,0.7,-4.77
Nevada,2011,2,7,68.7,0.12,-5.55
Nevada,2011,3,7,76.3,0.76,-5.59
Nevada,2011,4,2,71.6,0.54,-5.37
Nevada,2011,5,1,62.5,1.39,-2.81
Nevada,2011,6,1,48.1,0.59,-2.51
Nevada,2011,7,1,41.5,0.74,-2.83
Nevada,2011,8,1,28.4,0.63,-3.25
Nevada,2011,9,1,37.1,0.51,-4.12
Nevada,2011,10,1,39.3,1.2,-4.11
Nevada,2009,9,3,43.5,1.03,-4.22
Nevada,2009,10,9,49,0.66,-4.31
Nevada,2009,11,4,57.4,0.79,-4.91
Nevada,2009,12,1,66.7,0.12,-5.88
Nevada,2010,1,1,76.1,0.77,-6.01
Nevada,2010,2,1,69.5,1.49,-3.62
Nevada,2010,3,1,65.5,1.19,-1.89
Nevada,2010,4,1,55.4,0.12,-3.28
Nevada,2010,5,1,41.5,0.71,-3.57
Nevada,2010,6,1,35.6,1.33,-3.04
Nevada,2010,7,1,37.7,0.5,-4.04
Nevada,2010,8,1,42.8,0.58,-4.73
Nevada,2010,9,1,47.6,0.38,-5.76
Nevada,2010,10,1,47.8,0.7,-5.98
Nevada,2009,1,2,55.5,2.11,-5.05
Nevada,2009,2,5,71,0.56,-6.14
Nevada,2009,3,5,70.9,1.22,-5.64
Nevada,2009,4,3,72.7,0.49,-5.54
Nevada,2009,5,3,65.9,0.34,-5.42
Nevada,2009,6,1,56.2,1.83,-3.16
Nevada,2009,7,1,35.9,1.29,-1.74
