State,Year,Month,ActivityLevel,ActivityLevelLabel
Arizona,2014,12,2,Minimal
Arizona,2015,1,5,Low
Arizona,2015,2,7,Moderate
Arizona,2015,3,3,Minimal
Arizona,2015,4,2,Minimal
Arizona,2015,5,1,Minimal
Arizona,2015,6,1,Minimal
Arizona,2015,7,1,Minimal
Arizona,2015,8,1,Minimal
Arizona,2015,9,1,Minimal
Arizona,2015,10,1,Minimal
Arizona,2013,11,1,Minimal
Arizona,2013,12,1,Minimal
Arizona,2014,1,3,Minimal
Arizona,2014,2,6,Moderate
Arizona,2014,3,3,Minimal
Arizona,2014,3,1,Minimal
Arizona,2014,5,1,Minimal
Arizona,2014,5,1,Minimal
Arizona,2014,6,1,Minimal
Arizona,2014,8,1,Minimal
Arizona,2014,8,1,Minimal
Arizona,2014,9,1,Minimal
Arizona,2012,11,1,Minimal
Arizona,2012,12,1,Minimal
Arizona,2013,1,6,Moderate
Arizona,2013,2,8,High
Arizona,2013,3,4,Low
Arizona,2013,3,1,Minimal
Arizona,2013,5,1,Minimal
Arizona,2013,6,1,Minimal
Arizona,2013,6,1,Minimal
Arizona,2013,8,1,Minimal
Arizona,2013,8,1,Minimal
Arizona,2013,9,1,Minimal
Arizona,2011,11,1,Minimal
Arizona,2011,12,1,Minimal
Arizona,2012,1,1,Minimal
Arizona,2012,2,2,Minimal
Arizona,2012,3,2,Minimal
Arizona,2012,3,2,Minimal
Arizona,2012,5,1,Minimal
Arizona,2012,6,1,Minimal
Arizona,2012,6,1,Minimal
Arizona,2012,8,1,Minimal
Arizona,2012,9,1,Minimal
Arizona,2012,9,1,Minimal
Arizona,2010,11,1,Minimal
Arizona,2010,12,5,Low
Arizona,2011,1,2,Minimal
Arizona,2011,2,5,Low
Arizona,2011,3,3,Minimal
Arizona,2011,4,1,Minimal
Arizona,2011,5,1,Minimal
Arizona,2011,6,1,Minimal
Arizona,2011,7,1,Minimal
Arizona,2011,8,1,Minimal
Arizona,2011,9,1,Minimal
Arizona,2011,10,1,Minimal
Arizona,2009,9,3,Minimal
Arizona,2009,10,8,High
Arizona,2009,11,6,Moderate
Arizona,2009,12,1,Minimal
Arizona,2010,1,1,Minimal
Arizona,2010,2,1,Minimal
Arizona,2010,3,1,Minimal
Arizona,2010,4,1,Minimal
Arizona,2010,5,1,Minimal
Arizona,2010,6,1,Minimal
Arizona,2010,7,1,Minimal
Arizona,2010,8,1,Minimal
Arizona,2010,9,1,Minimal
Arizona,2010,10,1,Minimal
Arizona,2009,1,1,Minimal
Arizona,2009,2,1,Minimal
Arizona,2009,3,1,Minimal
Arizona,2009,4,1,Minimal
Arizona,2009,5,3,Minimal
Arizona,2009,6,1,Minimal
Arizona,2009,7,1,Minimal
Arizona,2009,8,1,Minimal
Arizona,2009,8,1,Minimal
Arkansas,2015,11,1,Minimal
Arkansas,2015,12,1,Minimal
Arkansas,2014,11,1,Minimal
Arkansas,2014,12,3,Minimal
Arkansas,2015,1,10,High
Arkansas,2015,2,10,High
Arkansas,2015,3,8,High
Arkansas,2015,4,1,Minimal
Arkansas,2015,5,1,Minimal
Arkansas,2015,6,1,Minimal
Arkansas,2015,7,1,Minimal
Arkansas,2015,8,1,Minimal
Arkansas,2015,9,1,Minimal
Arkansas,2015,10,1,Minimal
Arkansas,2013,11,2,Minimal
Arkansas,2013,12,3,Minimal
Arkansas,2014,1,10,High
Arkansas,2014,2,10,High
Arkansas,2014,3,1,Minimal
Arkansas,2014,3,1,Minimal
Arkansas,2014,5,1,Minimal
Arkansas,2014,5,1,Minimal
Arkansas,2014,6,1,Minimal
Arkansas,2014,8,1,Minimal
Arkansas,2014,8,1,Minimal
Arkansas,2014,9,1,Minimal
Arkansas,2012,11,1,Minimal
Arkansas,2012,12,1,Minimal
Arkansas,2013,1,8,High
Arkansas,2013,2,7,Moderate
Arkansas,2013,3,1,Minimal
Arkansas,2013,3,1,Minimal
Arkansas,2013,5,1,Minimal
Arkansas,2013,6,1,Minimal
Arkansas,2013,6,1,Minimal
Arkansas,2013,8,1,Minimal
Arkansas,2013,8,1,Minimal
Arkansas,2013,9,0,Insufficient Data
Arkansas,2011,11,1,Minimal
Arkansas,2011,12,1,Minimal
Arkansas,2012,1,1,Minimal
Arkansas,2012,2,1,Minimal
Arkansas,2012,3,4,Low
Arkansas,2012,3,1,Minimal
Arkansas,2012,5,1,Minimal
Arkansas,2012,6,1,Minimal
Arkansas,2012,6,1,Minimal
Arkansas,2012,8,0,Insufficient Data
Arkansas,2012,9,0,Insufficient Data
Arkansas,2012,9,0,Insufficient Data
Arkansas,2010,11,1,Minimal
Arkansas,2010,12,1,Minimal
Arkansas,2011,1,2,Minimal
Arkansas,2011,2,10,High
Arkansas,2011,3,10,High
Arkansas,2011,4,1,Minimal
Arkansas,2011,5,1,Minimal
Arkansas,2011,6,1,Minimal
Arkansas,2011,7,0,Insufficient Data
Arkansas,2011,8,0,Insufficient Data
Arkansas,2011,9,0,Insufficient Data
Arkansas,2011,10,0,Insufficient Data
Arkansas,2009,9,4,Low
Arkansas,2009,10,8,High
Arkansas,2009,11,10,High
Arkansas,2009,12,2,Minimal
Arkansas,2010,1,1,Minimal
Arkansas,2010,2,2,Minimal
Arkansas,2010,3,2,Minimal
Arkansas,2010,4,1,Minimal
Arkansas,2010,5,1,Minimal
Arkansas,2010,6,1,Minimal
Arkansas,2010,7,1,Minimal
Arkansas,2010,8,1,Minimal
Arkansas,2010,9,1,Minimal
Arkansas,2010,10,1,Minimal
Arkansas,2009,1,1,Minimal
Arkansas,2009,2,6,Moderate
Arkansas,2009,3,4,Low
Arkansas,2009,4,1,Minimal
Arkansas,2009,5,1,Minimal
Arkansas,2009,6,0,Insufficient Data
Arkansas,2009,7,0,Insufficient Data
Arkansas,2009,8,1,Minimal
Arkansas,2009,8,1,Minimal
California,2015,11,1,Minimal
California,2015,12,1,Minimal
California,2014,11,1,Minimal
California,2014,12,1,Minimal
California,2015,1,6,Moderate
California,2015,2,7,Moderate
California,2015,3,3,Minimal
California,2015,4,2,Minimal
California,2015,5,1,Minimal
California,2015,6,1,Minimal
California,2015,7,1,Minimal
California,2015,8,1,Minimal
California,2015,9,1,Minimal
California,2015,10,1,Minimal
California,2013,11,1,Minimal
California,2013,12,1,Minimal
California,2014,1,8,High
California,2014,2,6,Moderate
California,2014,3,2,Minimal
California,2014,3,1,Minimal
California,2014,5,1,Minimal
California,2014,5,1,Minimal
California,2014,6,1,Minimal
California,2014,8,1,Minimal
California,2014,8,1,Minimal
California,2014,9,1,Minimal
California,2012,11,1,Minimal
California,2012,12,1,Minimal
California,2013,1,2,Minimal
California,2013,2,10,High
California,2013,3,2,Minimal
California,2013,3,1,Minimal
California,2013,5,1,Minimal
California,2013,6,1,Minimal
California,2013,6,1,Minimal
California,2013,8,1,Minimal
California,2013,8,1,Minimal
California,2013,9,1,Minimal
California,2011,11,1,Minimal
California,2011,12,1,Minimal
California,2012,1,2,Minimal
California,2012,2,4,Low
California,2012,3,2,Minimal
California,2012,3,2,Minimal
California,2012,5,1,Minimal
California,2012,6,1,Minimal
California,2012,6,1,Minimal
California,2012,8,1,Minimal
California,2012,9,1,Minimal
California,2012,9,1,Minimal
California,2010,11,1,Minimal
California,2010,12,1,Minimal
California,2011,1,1,Minimal
California,2011,2,4,Low
California,2011,3,6,Moderate
California,2011,4,1,Minimal
California,2011,5,1,Minimal
California,2011,6,1,Minimal
California,2011,7,1,Minimal
California,2011,8,1,Minimal
California,2011,9,1,Minimal
California,2011,10,1,Minimal
California,2009,9,3,Minimal
California,2009,10,10,High
California,2009,11,10,High
California,2009,12,6,Moderate
California,2010,1,5,Low
California,2010,2,6,Moderate
California,2010,3,6,Moderate
California,2010,4,5,Low
California,2010,5,2,Minimal
California,2010,6,4,Low
California,2010,7,1,Minimal
California,2010,8,1,Minimal
California,2010,9,1,Minimal
California,2010,10,1,Minimal
California,2009,1,1,Minimal
California,2009,2,2,Minimal
California,2009,3,2,Minimal
California,2009,4,1,Minimal
California,2009,5,3,Minimal
California,2009,6,1,Minimal
California,2009,7,1,Minimal
California,2009,8,1,Minimal
California,2009,8,1,Minimal
Colorado,2015,11,1,Minimal
Colorado,2015,12,2,Minimal
Colorado,2014,11,2,Minimal
Colorado,2014,12,3,Minimal
Colorado,2015,1,10,High
Colorado,2015,2,8,High
Colorado,2015,3,4,Low
Colorado,2015,4,3,Minimal
Colorado,2015,5,2,Minimal
Colorado,2015,6,1,Minimal
Colorado,2015,7,1,Minimal
Colorado,2015,8,2,Minimal
Colorado,2015,9,2,Minimal
Colorado,2015,10,2,Minimal
Colorado,2013,11,1,Minimal
Colorado,2013,12,4,Low
Colorado,2014,1,8,High
Colorado,2014,2,5,Low
Colorado,2014,3,3,Minimal
Colorado,2014,3,2,Minimal
Colorado,2014,5,2,Minimal
Colorado,2014,5,1,Minimal
Colorado,2014,6,3,Minimal
Colorado,2014,8,2,Minimal
Colorado,2014,8,3,Minimal
Colorado,2014,9,2,Minimal
Colorado,2012,11,1,Minimal
Colorado,2012,12,4,Low
Colorado,2013,1,8,High
Colorado,2013,2,8,High
Colorado,2013,3,4,Low
Colorado,2013,3,2,Minimal
Colorado,2013,5,1,Minimal
Colorado,2013,6,1,Minimal
Colorado,2013,6,1,Minimal
Colorado,2013,8,1,Minimal
Colorado,2013,9,1,Minimal
Colorado,2011,11,1,Minimal
Colorado,2011,12,1,Minimal
Colorado,2012,1,1,Minimal
Colorado,2012,2,1,Minimal
Colorado,2012,3,3,Minimal
Colorado,2012,3,1,Minimal
Colorado,2012,5,1,Minimal
Colorado,2012,6,1,Minimal
Colorado,2012,6,1,Minimal
Colorado,2012,8,1,Minimal
Colorado,2012,9,1,Minimal
Colorado,2012,9,1,Minimal
Colorado,2010,11,1,Minimal
Colorado,2010,12,1,Minimal
Colorado,2011,1,1,Minimal
Colorado,2011,2,6,Moderate
Colorado,2011,3,7,Moderate
Colorado,2011,4,2,Minimal
Colorado,2011,5,1,Minimal
Colorado,2011,6,1,Minimal
Colorado,2011,7,1,Minimal
Colorado,2011,8,1,Minimal
Colorado,2011,9,1,Minimal
Colorado,2011,10,1,Minimal
Colorado,2009,9,2,Minimal
Colorado,2009,10,10,High
Colorado,2009,11,8,High
Colorado,2009,12,2,Minimal
Colorado,2010,1,1,Minimal
Colorado,2010,2,1,Minimal
Colorado,2010,3,1,Minimal
Colorado,2010,4,1,Minimal
Colorado,2010,5,1,Minimal
Colorado,2010,6,1,Minimal
Colorado,2010,7,1,Minimal
Colorado,2010,8,1,Minimal
Colorado,2010,9,1,Minimal
Colorado,2010,10,1,Minimal
Colorado,2009,1,1,Minimal
Colorado,2009,2,1,Minimal
Colorado,2009,3,2,Minimal
Colorado,2009,4,1,Minimal
Colorado,2009,5,1,Minimal
Colorado,2009,6,1,Minimal
Colorado,2009,7,1,Minimal
Colorado,2009,8,1,Minimal
Colorado,2009,8,1,Minimal
Connecticut,2015,11,1,Minimal
Connecticut,2015,12,1,Minimal
Connecticut,2014,11,2,Minimal
Connecticut,2014,12,1,Minimal
Connecticut,2015,1,2,Minimal
Connecticut,2015,2,10,High
Connecticut,2015,3,4,Low
Connecticut,2015,4,3,Minimal
Connecticut,2015,5,1,Minimal
Connecticut,2015,6,1,Minimal
Connecticut,2015,7,1,Minimal
Connecticut,2015,8,1,Minimal
Connecticut,2015,9,1,Minimal
Connecticut,2015,10,1,Minimal
Connecticut,2013,11,3,Minimal
Connecticut,2013,12,1,Minimal
Connecticut,2014,1,1,Minimal
Connecticut,2014,2,6,Moderate
Connecticut,2014,3,5,Low
Connecticut,2014,3,6,Moderate
Connecticut,2014,5,5,Low
Connecticut,2014,5,0,Insufficient Data
Connecticut,2014,6,0,Insufficient Data
Connecticut,2014,8,0,Insufficient Data
Connecticut,2014,8,0,Insufficient Data
Connecticut,2014,9,1,Minimal
Connecticut,2012,11,1,Minimal
Connecticut,2012,12,1,Minimal
Connecticut,2013,1,8,High
Connecticut,2013,2,5,Low
Connecticut,2013,3,2,Minimal
Connecticut,2013,3,1,Minimal
Connecticut,2013,5,1,Minimal
Connecticut,2013,6,1,Minimal
Connecticut,2013,6,0,Insufficient Data
Connecticut,2013,8,0,Insufficient Data
Connecticut,2013,8,0,Insufficient Data
Connecticut,2013,9,6,Moderate
Connecticut,2011,11,1,Minimal
Connecticut,2011,12,1,Minimal
Connecticut,2012,1,1,Minimal
Connecticut,2012,2,1,Minimal
Connecticut,2012,3,1,Minimal
Connecticut,2012,3,1,Minimal
Connecticut,2012,5,1,Minimal
Connecticut,2012,6,1,Minimal
Connecticut,2012,6,1,Minimal
Connecticut,2012,8,1,Minimal
Connecticut,2012,9,1,Minimal
Connecticut,2012,9,1,Minimal
Connecticut,2010,11,1,Minimal
Connecticut,2010,12,1,Minimal
Connecticut,2011,1,1,Minimal
Connecticut,2011,2,1,Minimal
Connecticut,2011,3,1,Minimal
Connecticut,2011,4,1,Minimal
Connecticut,2011,5,1,Minimal
Connecticut,2011,6,1,Minimal
Connecticut,2011,7,1,Minimal
Connecticut,2011,8,1,Minimal
Connecticut,2011,9,1,Minimal
Connecticut,2011,10,1,Minimal
Connecticut,2009,9,1,Minimal
Connecticut,2009,10,3,Minimal
Connecticut,2009,11,10,High
Connecticut,2009,12,1,Minimal
Connecticut,2010,1,1,Minimal
Connecticut,2010,2,1,Minimal
Connecticut,2010,3,1,Minimal
Connecticut,2010,4,1,Minimal
Connecticut,2010,5,1,Minimal
Connecticut,2010,6,1,Minimal
Connecticut,2010,7,1,Minimal
Connecticut,2010,8,1,Minimal
Connecticut,2010,9,1,Minimal
Connecticut,2010,10,1,Minimal
Connecticut,2009,1,1,Minimal
Connecticut,2009,2,10,High
Connecticut,2009,3,2,Minimal
Connecticut,2009,4,1,Minimal
Connecticut,2009,5,1,Minimal
Connecticut,2009,6,1,Minimal
Connecticut,2009,7,1,Minimal
Connecticut,2009,8,1,Minimal
Connecticut,2009,8,1,Minimal
Delaware,2015,11,1,Minimal
Delaware,2015,12,1,Minimal
Delaware,2014,11,1,Minimal
Delaware,2014,12,1,Minimal
Delaware,2015,1,3,Minimal
Delaware,2015,2,5,Low
Delaware,2015,3,1,Minimal
Delaware,2015,4,1,Minimal
Delaware,2015,5,1,Minimal
Delaware,2015,6,1,Minimal
Delaware,2015,7,1,Minimal
Delaware,2015,8,1,Minimal
Delaware,2015,9,1,Minimal
Delaware,2015,10,1,Minimal
Delaware,2013,11,1,Minimal
Delaware,2013,12,2,Minimal
Delaware,2014,1,4,Low
Delaware,2014,2,6,Moderate
Delaware,2014,3,4,Low
Delaware,2014,3,3,Minimal
Delaware,2014,5,1,Minimal
Delaware,2014,5,1,Minimal
Delaware,2014,6,1,Minimal
Delaware,2014,8,1,Minimal
Delaware,2014,8,1,Minimal
Delaware,2014,9,1,Minimal
Delaware,2012,11,1,Minimal
Delaware,2012,12,4,Low
Delaware,2013,1,10,High
Delaware,2013,2,8,High
Delaware,2013,3,2,Minimal
Delaware,2013,3,1,Minimal
Delaware,2013,5,1,Minimal
Delaware,2013,6,0,Insufficient Data
Delaware,2013,6,0,Insufficient Data
Delaware,2013,8,0,Insufficient Data
Delaware,2013,8,0,Insufficient Data
Delaware,2013,9,0,Insufficient Data
Delaware,2011,11,1,Minimal
Delaware,2011,12,1,Minimal
Delaware,2012,1,1,Minimal
Delaware,2012,2,1,Minimal
Delaware,2012,3,1,Minimal
Delaware,2012,3,1,Minimal
Delaware,2012,5,1,Minimal
Delaware,2012,6,0,Insufficient Data
Delaware,2012,6,0,Insufficient Data
Delaware,2012,8,0,Insufficient Data
Delaware,2012,9,0,Insufficient Data
Delaware,2012,9,0,Insufficient Data
Delaware,2010,11,1,Minimal
Delaware,2010,12,1,Minimal
Delaware,2011,1,1,Minimal
Delaware,2011,2,3,Minimal
Delaware,2011,3,3,Minimal
Delaware,2011,4,1,Minimal
Delaware,2011,5,1,Minimal
Delaware,2011,6,0,Insufficient Data
Delaware,2009,9,1,Minimal
Delaware,2009,10,8,High
Delaware,2009,11,10,High
Delaware,2009,12,1,Minimal
Delaware,2010,1,1,Minimal
Delaware,2010,2,1,Minimal
Delaware,2010,3,1,Minimal
Delaware,2010,4,1,Minimal
Delaware,2010,5,1,Minimal
Delaware,2009,1,1,Minimal
Delaware,2009,2,1,Minimal
Delaware,2009,3,2,Minimal
Delaware,2009,4,1,Minimal
Delaware,2009,5,1,Minimal
Delaware,2009,6,1,Minimal
Delaware,2009,7,1,Minimal
Delaware,2009,8,1,Minimal
Delaware,2009,8,1,Minimal
District of Columbia,2015,11,0,Insufficient Data
District of Columbia,2015,12,0,Insufficient Data
District of Columbia,2014,11,0,Insufficient Data
District of Columbia,2014,12,0,Insufficient Data
District of Columbia,2015,1,0,Insufficient Data
District of Columbia,2015,2,0,Insufficient Data
District of Columbia,2015,3,0,Insufficient Data
District of Columbia,2015,4,0,Insufficient Data
District of Columbia,2015,5,0,Insufficient Data
District of Columbia,2015,6,0,Insufficient Data
District of Columbia,2015,7,0,Insufficient Data
District of Columbia,2013,11,5,Low
District of Columbia,2013,12,10,High
District of Columbia,2014,1,10,High
District of Columbia,2014,2,10,High
District of Columbia,2014,3,0,Insufficient Data
District of Columbia,2014,3,0,Insufficient Data
District of Columbia,2014,5,0,Insufficient Data
District of Columbia,2014,5,0,Insufficient Data
District of Columbia,2014,6,0,Insufficient Data
District of Columbia,2014,8,0,Insufficient Data
District of Columbia,2014,8,0,Insufficient Data
District of Columbia,2014,9,0,Insufficient Data
District of Columbia,2012,11,0,Insufficient Data
District of Columbia,2012,12,0,Insufficient Data
District of Columbia,2013,1,3,Minimal
District of Columbia,2013,2,4,Low
District of Columbia,2013,3,2,Minimal
District of Columbia,2013,3,1,Minimal
District of Columbia,2013,5,0,Insufficient Data
District of Columbia,2013,6,0,Insufficient Data
District of Columbia,2013,6,0,Insufficient Data
District of Columbia,2013,8,0,Insufficient Data
District of Columbia,2013,8,0,Insufficient Data
District of Columbia,2013,9,0,Insufficient Data
District of Columbia,2011,11,1,Minimal
District of Columbia,2011,12,0,Insufficient Data
District of Columbia,2012,1,0,Insufficient Data
District of Columbia,2012,2,0,Insufficient Data
District of Columbia,2012,3,0,Insufficient Data
District of Columbia,2012,3,0,Insufficient Data
District of Columbia,2012,5,0,Insufficient Data
District of Columbia,2012,6,0,Insufficient Data
District of Columbia,2012,6,0,Insufficient Data
District of Columbia,2012,8,0,Insufficient Data
District of Columbia,2012,9,0,Insufficient Data
District of Columbia,2012,9,0,Insufficient Data
District of Columbia,2010,11,1,Minimal
District of Columbia,2010,12,1,Minimal
District of Columbia,2011,1,1,Minimal
District of Columbia,2011,2,1,Minimal
District of Columbia,2011,3,1,Minimal
District of Columbia,2011,4,1,Minimal
District of Columbia,2011,5,0,Insufficient Data
District of Columbia,2011,6,0,Insufficient Data
District of Columbia,2011,7,0,Insufficient Data
District of Columbia,2011,8,0,Insufficient Data
District of Columbia,2011,9,0,Insufficient Data
District of Columbia,2011,10,0,Insufficient Data
District of Columbia,2009,11,10,High
District of Columbia,2009,12,5,Low
District of Columbia,2010,1,3,Minimal
District of Columbia,2010,2,4,Low
District of Columbia,2010,3,3,Minimal
District of Columbia,2010,4,0,Insufficient Data
District of Columbia,2010,5,0,Insufficient Data
Florida,2015,11,1,Minimal
Florida,2015,12,1,Minimal
Florida,2014,11,3,Minimal
Florida,2014,12,5,Low
Florida,2015,1,3,Minimal
Florida,2015,2,2,Minimal
Florida,2015,3,2,Minimal
Florida,2015,4,1,Minimal
Florida,2015,5,1,Minimal
Florida,2015,6,1,Minimal
Florida,2015,7,1,Minimal
Florida,2015,8,1,Minimal
Florida,2015,9,1,Minimal
Florida,2015,10,1,Minimal
Florida,2013,11,1,Minimal
Florida,2013,12,1,Minimal
Florida,2014,1,3,Minimal
Florida,2014,2,4,Low
Florida,2014,3,1,Minimal
Florida,2014,3,1,Minimal
Florida,2014,5,1,Minimal
Florida,2014,5,1,Minimal
Florida,2014,6,1,Minimal
Florida,2014,8,1,Minimal
Florida,2014,8,1,Minimal
Florida,2014,9,1,Minimal
Florida,2012,11,1,Minimal
Florida,2012,12,3,Minimal
Florida,2013,1,6,Moderate
Florida,2013,2,4,Low
Florida,2013,3,1,Minimal
Florida,2013,3,2,Minimal
Florida,2013,5,1,Minimal
Florida,2013,6,1,Minimal
Florida,2013,6,1,Minimal
Florida,2013,8,1,Minimal
Florida,2013,8,1,Minimal
Florida,2013,9,1,Minimal
Florida,2011,11,1,Minimal
Florida,2011,12,1,Minimal
Florida,2012,1,1,Minimal
Florida,2012,2,1,Minimal
Florida,2012,3,1,Minimal
Florida,2012,3,1,Minimal
Florida,2012,5,1,Minimal
Florida,2012,6,2,Minimal
Florida,2012,6,1,Minimal
Florida,2012,8,1,Minimal
Florida,2012,9,1,Minimal
Florida,2012,9,1,Minimal
Florida,2010,11,1,Minimal
Florida,2010,12,1,Minimal
Florida,2011,1,3,Minimal
Florida,2011,2,6,Moderate
Florida,2011,3,1,Minimal
Florida,2011,4,1,Minimal
Florida,2011,5,1,Minimal
Florida,2011,6,1,Minimal
Florida,2011,7,1,Minimal
Florida,2011,8,1,Minimal
Florida,2011,9,1,Minimal
Florida,2011,10,1,Minimal
Florida,2009,9,8,High
Florida,2009,10,8,High
Florida,2009,11,8,High
Florida,2009,12,1,Minimal
Florida,2010,1,1,Minimal
Florida,2010,2,1,Minimal
Florida,2010,3,1,Minimal
Florida,2010,4,1,Minimal
Florida,2010,5,1,Minimal
Florida,2010,6,1,Minimal
Florida,2010,7,1,Minimal
Florida,2010,8,1,Minimal
Florida,2010,9,1,Minimal
Florida,2010,10,1,Minimal
Florida,2009,1,1,Minimal
Florida,2009,2,1,Minimal
Florida,2009,3,1,Minimal
Florida,2009,4,1,Minimal
Florida,2009,5,1,Minimal
Florida,2009,6,1,Minimal
Florida,2009,7,1,Minimal
Florida,2009,8,1,Minimal
Florida,2009,8,1,Minimal
Georgia,2015,11,2,Minimal
Georgia,2015,12,2,Minimal
Georgia,2014,11,1,Minimal
Georgia,2014,12,10,High
Georgia,2015,1,7,Moderate
Georgia,2015,2,4,Low
Georgia,2015,3,4,Low
Georgia,2015,4,2,Minimal
Georgia,2015,5,1,Minimal
Georgia,2015,6,1,Minimal
Georgia,2015,7,1,Minimal
Georgia,2015,8,1,Minimal
Georgia,2015,9,1,Minimal
Georgia,2015,10,2,Minimal
Georgia,2013,11,1,Minimal
Georgia,2013,12,3,Minimal
Georgia,2014,1,5,Low
Georgia,2014,2,3,Minimal
Georgia,2014,3,1,Minimal
Georgia,2014,3,1,Minimal
Georgia,2014,5,1,Minimal
Georgia,2014,5,1,Minimal
Georgia,2014,6,1,Minimal
Georgia,2014,8,1,Minimal
Georgia,2014,8,1,Minimal
Georgia,2014,9,1,Minimal
Georgia,2012,11,1,Minimal
Georgia,2012,12,9,High
Georgia,2013,1,9,High
Georgia,2013,2,4,Low
Georgia,2013,3,4,Low
Georgia,2013,3,1,Minimal
Georgia,2013,5,1,Minimal
Georgia,2013,6,1,Minimal
Georgia,2013,6,1,Minimal
Georgia,2013,8,1,Minimal
Georgia,2013,8,1,Minimal
Georgia,2013,9,1,Minimal
Georgia,2011,11,1,Minimal
Georgia,2011,12,1,Minimal
Georgia,2012,1,2,Minimal
Georgia,2012,2,1,Minimal
Georgia,2012,3,1,Minimal
Georgia,2012,3,1,Minimal
Georgia,2012,5,1,Minimal
Georgia,2012,6,1,Minimal
Georgia,2012,6,1,Minimal
Georgia,2012,8,1,Minimal
Georgia,2012,9,1,Minimal
Georgia,2012,9,1,Minimal
Georgia,2010,11,3,Minimal
Georgia,2010,12,8,High
Georgia,2011,1,9,High
Georgia,2011,2,9,High
Georgia,2011,3,3,Minimal
Georgia,2011,4,1,Minimal
Georgia,2011,5,1,Minimal
Georgia,2011,6,1,Minimal
Georgia,2011,7,1,Minimal
Georgia,2011,8,1,Minimal
Georgia,2011,9,1,Minimal
Georgia,2011,10,1,Minimal
Georgia,2009,9,10,High
Georgia,2009,10,10,High
Georgia,2009,11,10,High
Georgia,2009,12,4,Low
Georgia,2010,1,3,Minimal
Georgia,2010,2,4,Low
Georgia,2010,3,2,Minimal
Georgia,2010,4,1,Minimal
Georgia,2010,5,1,Minimal
Georgia,2010,6,1,Minimal
Georgia,2010,7,1,Minimal
Georgia,2010,8,1,Minimal
Georgia,2010,9,1,Minimal
Georgia,2010,10,1,Minimal
Georgia,2009,1,2,Minimal
Georgia,2009,2,7,Moderate
Georgia,2009,3,8,High
Georgia,2009,4,1,Minimal
Georgia,2009,5,8,High
Georgia,2009,6,1,Minimal
Georgia,2009,7,4,Low
Georgia,2009,8,2,Minimal
Georgia,2009,8,2,Minimal
Idaho,2015,11,1,Minimal
Idaho,2015,12,1,Minimal
Idaho,2014,11,1,Minimal
Idaho,2014,12,3,Minimal
Idaho,2015,1,10,High
