State,Year,Month,precipitation
Alabama,2011,07,5.52
Alabama,2011,08,2.05
Alabama,2011,09,7.21
Alabama,2011,10,0.79
Alabama,2011,11,4.13
Alabama,2011,12,5.04
Alabama,2012,01,5.44
Alabama,2012,02,4.49
Alabama,2012,03,5.35
Alabama,2012,04,1.89
Alabama,2012,05,4.16
Alabama,2012,06,4.00
Alabama,2012,07,5.75
Alabama,2012,08,6.07
Alabama,2012,09,5.35
Alabama,2012,10,2.91
Alabama,2012,11,1.36
Alabama,2012,12,6.61
Alabama,2013,01,6.27
Alabama,2013,02,8.86
Alabama,2013,03,3.83
Alabama,2013,04,5.71
Alabama,2013,05,4.00
Alabama,2013,06,5.81
Alabama,2013,07,8.70
Alabama,2013,08,5.50
Alabama,2013,09,3.20
Alabama,2013,10,1.47
Alabama,2013,11,3.42
Alabama,2013,12,7.93
Alabama,2014,01,2.70
Alabama,2014,02,5.75
Alabama,2014,03,5.57
Alabama,2014,04,9.67
Alabama,2014,05,4.27
Alabama,2014,06,5.23
Alabama,2014,07,3.36
Alabama,2014,08,3.25
Alabama,2014,09,2.51
Alabama,2014,10,4.38
Alabama,2014,11,2.98
Alabama,2014,12,6.36
Alabama,2015,01,4.34
Alabama,2015,02,4.05
Alabama,2015,03,4.28
Alabama,2015,04,7.14
Alabama,2015,05,4.32
Alabama,2015,06,3.27
Alabama,2015,07,4.71
Alabama,2015,08,4.94
Alabama,2015,09,2.71
Alabama,2015,10,2.93
Alabama,2015,11,6.80
Alabama,2015,12,11.87
Idaho,2000,01,3.41
Idaho,2000,02,3.05
Idaho,2000,03,1.92
Idaho,2000,04,1.50
Idaho,2000,05,2.05
Idaho,2000,06,0.86
Idaho,2000,07,0.35
Idaho,2000,08,0.31
Idaho,2000,09,1.65
Idaho,2000,10,2.77
Idaho,2000,11,1.34
Idaho,2000,12,1.68
Idaho,2001,01,1.37
Idaho,2001,02,1.18
Idaho,2001,03,1.58
Idaho,2001,04,2.33
Idaho,2001,05,1.02
Idaho,2001,06,1.40
Idaho,2001,07,1.12
Idaho,2001,08,0.17
Idaho,2001,09,0.73
Idaho,2001,10,2.22
Idaho,2001,11,2.51
Idaho,2001,12,3.50
Idaho,2002,01,2.97
Idaho,2002,02,1.33
Idaho,2002,03,2.39
Idaho,2002,04,1.98
Idaho,2002,05,1.53
Idaho,2002,06,1.42
Idaho,2002,07,0.51
Idaho,2002,08,0.51
Idaho,2002,09,1.03
Idaho,2002,10,0.63
Idaho,2002,11,1.60
Idaho,2002,12,3.08
Idaho,2003,01,3.19
Idaho,2003,02,2.01
Idaho,2003,03,3.31
Idaho,2003,04,2.54
Idaho,2003,05,2.02
Idaho,2003,06,0.64
Idaho,2003,07,0.30
Idaho,2003,08,0.96
Idaho,2003,09,0.72
Idaho,2003,10,0.80
Idaho,2003,11,2.45
Idaho,2003,12,3.62
Idaho,2004,01,2.90
Idaho,2004,02,2.19
Idaho,2004,03,1.10
Idaho,2004,04,1.37
Idaho,2004,05,3.50
Idaho,2004,06,1.43
Idaho,2004,07,0.91
Idaho,2004,08,1.90
Idaho,2004,09,1.55
Idaho,2004,10,2.41
Idaho,2004,11,1.38
Idaho,2004,12,2.54
Idaho,2005,01,1.81
Idaho,2005,02,0.71
Idaho,2005,03,2.44
Idaho,2005,04,2.23
Idaho,2005,05,4.11
Idaho,2005,06,2.44
Idaho,2005,07,0.35
Idaho,2005,08,0.47
Idaho,2005,09,0.93
Idaho,2005,10,1.84
Idaho,2005,11,2.88
Idaho,2005,12,4.38
Idaho,2006,01,4.71
Idaho,2006,02,1.79
Idaho,2006,03,2.69
Idaho,2006,04,3.07
Idaho,2006,05,1.63
Idaho,2006,06,1.74
Idaho,2006,07,0.46
Idaho,2006,08,0.40
Idaho,2006,09,1.25
Idaho,2006,10,1.58
Idaho,2006,11,4.34
Idaho,2006,12,2.72
Idaho,2007,01,1.36
Idaho,2007,02,2.45
Idaho,2007,03,1.45
Idaho,2007,04,1.59
Idaho,2007,05,1.09
Idaho,2007,06,1.23
Idaho,2007,07,0.38
Idaho,2007,08,0.51
Idaho,2007,09,1.26
Idaho,2007,10,2.58
Idaho,2007,11,2.04
Idaho,2007,12,3.62
Idaho,2008,01,3.53
Idaho,2008,02,2.23
Idaho,2008,03,2.28
Idaho,2008,04,1.20
Idaho,2008,05,1.82
Idaho,2008,06,1.43
Idaho,2008,07,0.31
Idaho,2008,08,0.82
Idaho,2008,09,0.77
Idaho,2008,10,1.04
Idaho,2008,11,2.80
Idaho,2008,12,3.74
Idaho,2009,01,2.72
Idaho,2009,02,1.46
Idaho,2009,03,3.17
Idaho,2009,04,1.84
Idaho,2009,05,2.03
Idaho,2009,06,3.51
Idaho,2009,07,0.71
Idaho,2009,08,1.45
Idaho,2009,09,0.35
Idaho,2009,10,2.47
Idaho,2009,11,1.33
Idaho,2009,12,1.84
Idaho,2010,01,2.54
Idaho,2010,02,1.06
Idaho,2010,03,1.86
Idaho,2010,04,2.64
Idaho,2010,05,2.77
Idaho,2010,06,3.24
Idaho,2010,07,0.52
Idaho,2010,08,0.83
Idaho,2010,09,0.94
Idaho,2010,10,2.49
Idaho,2010,11,3.03
Idaho,2010,12,4.22
Idaho,2011,01,2.79
Idaho,2011,02,1.93
Idaho,2011,03,3.88
Idaho,2011,04,3.18
Idaho,2011,05,3.15
Idaho,2011,06,1.96
Idaho,2011,07,0.55
Idaho,2011,08,0.51
Idaho,2011,09,0.39
Idaho,2011,10,2.83
Idaho,2011,11,1.99
Idaho,2011,12,1.53
Idaho,2012,01,3.33
Idaho,2012,02,1.78
Idaho,2012,03,4.26
Idaho,2012,04,2.12
Idaho,2012,05,1.91
Idaho,2012,06,1.60
Idaho,2012,07,0.93
Idaho,2012,08,0.28
Idaho,2012,09,0.32
Idaho,2012,10,2.32
Idaho,2012,11,2.75
Idaho,2012,12,4.12
Idaho,2013,01,1.90
Idaho,2013,02,1.07
Idaho,2013,03,1.47
Idaho,2013,04,1.81
Idaho,2013,05,1.51
Idaho,2013,06,1.35
Idaho,2013,07,0.53
Idaho,2013,08,0.71
Idaho,2013,09,2.96
Idaho,2013,10,0.85
Idaho,2013,11,1.72
Idaho,2013,12,1.76
Idaho,2014,01,2.02
Idaho,2014,02,3.68
Idaho,2014,03,3.92
Idaho,2014,04,2.15
Idaho,2014,05,1.26
Idaho,2014,06,1.32
Idaho,2014,07,0.39
Idaho,2014,08,2.29
Idaho,2014,09,1.53
Idaho,2014,10,1.29
Idaho,2014,11,3.32
Idaho,2014,12,3.30
Idaho,2015,01,2.06
Idaho,2015,02,1.86
Idaho,2015,03,1.51
Idaho,2015,04,1.23
Idaho,2015,05,2.89
Idaho,2015,06,0.77
Idaho,2015,07,1.37
Idaho,2015,08,0.76
Idaho,2015,09,1.31
Idaho,2015,10,1.69
Idaho,2015,11,2.51
Idaho,2015,12,4.56
Illinois,2000,01,1.53
Illinois,2000,02,2.53
Illinois,2000,03,2.03
Illinois,2000,04,2.99
Illinois,2000,05,4.40
Illinois,2000,06,7.34
Illinois,2000,07,4.36
Illinois,2000,08,3.56
Illinois,2000,09,3.81
Illinois,2000,10,2.10
Illinois,2000,11,3.18
Illinois,2000,12,1.94
Illinois,2001,01,1.72
Illinois,2001,02,3.19
Illinois,2001,03,1.22
Illinois,2001,04,2.84
Illinois,2001,05,4.35
Illinois,2001,06,3.81
Illinois,2001,07,3.78
Illinois,2001,08,4.07
Illinois,2001,09,3.37
Illinois,2001,10,6.08
Illinois,2001,11,2.62
Illinois,2001,12,2.60
Illinois,2002,01,2.22
Illinois,2002,02,1.83
Illinois,2002,03,3.36
Illinois,2002,04,5.11
Illinois,2002,05,7.34
Illinois,2002,06,4.02
Illinois,2002,07,2.60
Illinois,2002,08,4.19
Illinois,2002,09,2.11
Illinois,2002,10,3.07
Illinois,2002,11,1.04
Illinois,2002,12,2.17
Illinois,2003,01,0.65
Illinois,2003,02,1.83
Illinois,2003,03,1.98
Illinois,2003,04,3.18
Illinois,2003,05,5.50
Illinois,2003,06,3.79
Illinois,2003,07,5.00
Illinois,2003,08,2.55
Illinois,2003,09,4.25
Illinois,2003,10,1.98
Illinois,2003,11,4.51
Illinois,2003,12,2.56
Illinois,2004,01,1.98
Illinois,2004,02,0.76
Illinois,2004,03,4.14
Illinois,2004,04,1.80
Illinois,2004,05,6.83
Illinois,2004,06,3.17
Illinois,2004,07,4.13
Illinois,2004,08,5.08
Illinois,2004,09,0.68
Illinois,2004,10,4.84
Illinois,2004,11,4.76
Illinois,2004,12,1.80
Illinois,2005,01,5.34
Illinois,2005,02,1.88
Illinois,2005,03,1.56
Illinois,2005,04,2.57
Illinois,2005,05,1.74
Illinois,2005,06,1.87
Illinois,2005,07,3.23
Illinois,2005,08,3.68
Illinois,2005,09,3.63
Illinois,2005,10,1.26
Illinois,2005,11,3.51
Illinois,2005,12,1.16
Illinois,2006,01,2.74
Illinois,2006,02,0.88
Illinois,2006,03,4.58
Illinois,2006,04,3.79
Illinois,2006,05,3.58
Illinois,2006,06,2.98
Illinois,2006,07,4.09
Illinois,2006,08,4.05
Illinois,2006,09,3.42
Illinois,2006,10,3.80
Illinois,2006,11,3.32
Illinois,2006,12,3.40
Illinois,2007,01,2.93
Illinois,2007,02,2.31
Illinois,2007,03,3.21
Illinois,2007,04,3.52
Illinois,2007,05,2.24
Illinois,2007,06,4.13
Illinois,2007,07,3.31
Illinois,2007,08,4.36
Illinois,2007,09,1.59
Illinois,2007,10,3.50
Illinois,2007,11,1.72
Illinois,2007,12,3.87
Illinois,2008,01,2.43
Illinois,2008,02,4.40
Illinois,2008,03,4.53
Illinois,2008,04,4.34
Illinois,2008,05,5.36
Illinois,2008,06,5.50
Illinois,2008,07,5.91
Illinois,2008,08,1.93
Illinois,2008,09,7.62
Illinois,2008,10,2.42
Illinois,2008,11,1.49
Illinois,2008,12,4.25
Illinois,2009,01,1.01
Illinois,2009,02,2.43
Illinois,2009,03,4.05
Illinois,2009,04,6.16
Illinois,2009,05,5.65
Illinois,2009,06,5.12
Illinois,2009,07,4.59
Illinois,2009,08,4.72
Illinois,2009,09,2.28
Illinois,2009,10,8.49
Illinois,2009,11,2.48
Illinois,2009,12,3.98
Illinois,2010,01,1.44
Illinois,2010,02,1.53
Illinois,2010,03,2.74
Illinois,2010,04,3.36
Illinois,2010,05,5.40
Illinois,2010,06,7.71
Illinois,2010,07,5.35
Illinois,2010,08,3.18
Illinois,2010,09,3.73
Illinois,2010,10,1.32
Illinois,2010,11,3.15
Illinois,2010,12,1.77
Illinois,2011,01,1.19
Illinois,2011,02,3.24
Illinois,2011,03,2.72
Illinois,2011,04,7.62
Illinois,2011,05,5.28
Illinois,2011,06,6.69
Illinois,2011,07,3.61
Illinois,2011,08,1.87
Illinois,2011,09,3.56
Illinois,2011,10,1.80
Illinois,2011,11,5.17
Illinois,2011,12,3.35
Illinois,2012,01,1.89
Illinois,2012,02,1.48
Illinois,2012,03,2.08
Illinois,2012,04,3.13
Illinois,2012,05,2.47
Illinois,2012,06,1.73
Illinois,2012,07,1.40
Illinois,2012,08,3.50
Illinois,2012,09,5.04
Illinois,2012,10,3.93
Illinois,2012,11,1.21
Illinois,2012,12,2.25
Illinois,2013,01,3.81
Illinois,2013,02,2.65
Illinois,2013,03,2.61
Illinois,2013,04,6.93
Illinois,2013,05,6.57
Illinois,2013,06,5.33
Illinois,2013,07,3.16
Illinois,2013,08,1.44
Illinois,2013,09,1.69
Illinois,2013,10,3.33
Illinois,2013,11,2.49
Illinois,2013,12,2.48
Illinois,2014,01,1.72
Illinois,2014,02,2.22
Illinois,2014,03,1.46
Illinois,2014,04,5.15
Illinois,2014,05,3.29
Illinois,2014,06,6.77
Illinois,2014,07,3.29
Illinois,2014,08,5.19
Illinois,2014,09,4.11
Illinois,2014,10,4.33
Illinois,2014,11,1.86
Illinois,2014,12,1.90
Illinois,2015,01,1.50
Illinois,2015,02,1.43
Illinois,2015,03,2.35
Illinois,2015,04,3.41
Illinois,2015,05,5.39
Illinois,2015,06,9.44
Illinois,2015,07,5.21
Illinois,2015,08,3.02
Illinois,2015,09,3.42
Illinois,2015,10,1.44
Illinois,2015,11,5.52
Illinois,2015,12,6.68
Indiana,2000,01,2.54
Indiana,2000,02,3.46
Indiana,2000,03,2.20
Indiana,2000,04,3.23
Indiana,2000,05,4.53
Indiana,2000,06,6.21
Indiana,2000,07,3.89
Indiana,2000,08,4.41
Indiana,2000,09,4.61
Indiana,2000,10,2.33
Indiana,2000,11,2.98
Indiana,2000,12,3.01
Indiana,2001,01,1.02
Indiana,2001,02,2.86
Indiana,2001,03,0.97
Indiana,2001,04,2.75
Indiana,2001,05,4.32
Indiana,2001,06,4.09
Indiana,2001,07,5.46
Indiana,2001,08,4.02
Indiana,2001,09,3.76
Indiana,2001,10,7.75
Indiana,2001,11,3.34
Indiana,2001,12,3.62
Indiana,2002,01,2.24
Indiana,2002,02,2.32
Indiana,2002,03,4.39
Indiana,2002,04,5.59
Indiana,2002,05,7.10
Indiana,2002,06,3.28
Indiana,2002,07,2.64
Indiana,2002,08,2.82
Indiana,2002,09,3.75
Indiana,2002,10,2.87
Indiana,2002,11,2.35
Indiana,2002,12,2.86
Indiana,2003,01,1.42
Indiana,2003,02,2.74
Indiana,2003,03,2.16
Indiana,2003,04,3.00
Indiana,2003,05,6.56
Indiana,2003,06,3.26
Indiana,2003,07,8.18
Indiana,2003,08,3.54
Indiana,2003,09,6.20
Indiana,2003,10,2.40
Indiana,2003,11,4.26
Indiana,2003,12,2.68
Indiana,2004,01,3.48
Indiana,2004,02,0.83
Indiana,2004,03,3.46
Indiana,2004,04,1.83
Indiana,2004,05,7.17
Indiana,2004,06,4.43
Indiana,2004,07,5.19
Indiana,2004,08,4.85
Indiana,2004,09,0.72
Indiana,2004,10,4.14
Indiana,2004,11,4.74
Indiana,2004,12,2.57
Indiana,2005,01,7.10
Indiana,2005,02,2.25
Indiana,2005,03,2.12
Indiana,2005,04,3.04
Indiana,2005,05,2.57
Indiana,2005,06,3.21
Indiana,2005,07,4.43
Indiana,2005,08,4.76
Indiana,2005,09,4.10
Indiana,2005,10,1.24
Indiana,2005,11,3.91
Indiana,2005,12,2.15
Indiana,2006,01,3.29
Indiana,2006,02,1.63
Indiana,2006,03,5.14
Indiana,2006,04,4.27
Indiana,2006,05,5.25
Indiana,2006,06,4.20
Indiana,2006,07,4.85
Indiana,2006,08,4.76
Indiana,2006,09,4.56
Indiana,2006,10,5.01
Indiana,2006,11,3.25
Indiana,2006,12,4.83
Indiana,2007,01,4.75
Indiana,2007,02,2.43
Indiana,2007,03,3.54
Indiana,2007,04,4.15
Indiana,2007,05,1.75
Indiana,2007,06,3.28
Indiana,2007,07,3.17
Indiana,2007,08,4.55
Indiana,2007,09,2.53
Indiana,2007,10,3.81
Indiana,2007,11,2.77
Indiana,2007,12,5.06
Indiana,2008,01,3.23
Indiana,2008,02,4.81
Indiana,2008,03,6.48
Indiana,2008,04,3.37
Indiana,2008,05,5.68
Indiana,2008,06,6.58
Indiana,2008,07,4.32
Indiana,2008,08,2.01
Indiana,2008,09,3.86
Indiana,2008,10,2.23
Indiana,2008,11,2.11
Indiana,2008,12,5.02
Indiana,2009,01,1.63
Indiana,2009,02,2.80
Indiana,2009,03,3.23
Indiana,2009,04,5.74
Indiana,2009,05,5.67
Indiana,2009,06,4.69
Indiana,2009,07,4.43
Indiana,2009,08,3.76
Indiana,2009,09,2.87
Indiana,2009,10,6.69
Indiana,2009,11,1.46
Indiana,2009,12,3.10
Indiana,2010,01,1.52
Indiana,2010,02,1.48
Indiana,2010,03,3.10
Indiana,2010,04,3.16
Indiana,2010,05,5.49
Indiana,2010,06,7.68
Indiana,2010,07,4.15
Indiana,2010,08,1.84
Indiana,2010,09,1.35
Indiana,2010,10,1.17
Indiana,2010,11,5.01
Indiana,2010,12,1.44
Indiana,2011,01,1.50
Indiana,2011,02,4.21
Indiana,2011,03,3.46
Indiana,2011,04,9.61
Indiana,2011,05,6.51
Indiana,2011,06,5.23
Indiana,2011,07,2.74
Indiana,2011,08,2.55
Indiana,2011,09,5.31
Indiana,2011,10,3.29
Indiana,2011,11,6.21
Indiana,2011,12,4.59
Indiana,2012,01,3.40
Indiana,2012,02,1.54
Indiana,2012,03,2.73
Indiana,2012,04,2.22
Indiana,2012,05,2.75
Indiana,2012,06,1.29
Indiana,2012,07,2.53
Indiana,2012,08,4.05
Indiana,2012,09,5.18
Indiana,2012,10,3.95
Indiana,2012,11,0.98
Indiana,2012,12,3.21
Indiana,2013,01,4.71
Indiana,2013,02,2.21
Indiana,2013,03,2.30
Indiana,2013,04,6.38
Indiana,2013,05,3.71
Indiana,2013,06,6.24
Indiana,2013,07,3.21
Indiana,2013,08,1.84
Indiana,2013,09,2.99
Indiana,2013,10,4.12
Indiana,2013,11,3.04
Indiana,2013,12,4.39
Indiana,2014,01,2.33
Indiana,2014,02,2.64
Indiana,2014,03,1.85
Indiana,2014,04,5.73
Indiana,2014,05,4.23
Indiana,2014,06,5.61
Indiana,2014,07,3.36
Indiana,2014,08,4.96
Indiana,2014,09,3.48
Indiana,2014,10,4.13
Indiana,2014,11,2.66
Indiana,2014,12,2.59
Indiana,2015,01,2.11
Indiana,2015,02,1.40
Indiana,2015,03,3.54
Indiana,2015,04,4.79
Indiana,2015,05,3.98
Indiana,2015,06,9.07
Indiana,2015,07,6.23
Indiana,2015,08,2.57
Indiana,2015,09,2.39
Indiana,2015,10,2.42
Indiana,2015,11,3.57
Indiana,2015,12,5.44
Iowa,2000,01,0.73
Iowa,2000,02,1.37
Iowa,2000,03,1.00
Iowa,2000,04,2.03
Iowa,2000,05,3.60
Iowa,2000,06,6.56
Iowa,2000,07,4.09
Iowa,2000,08,2.62
Iowa,2000,09,2.11
Iowa,2000,10,1.80
Iowa,2000,11,2.15
Iowa,2000,12,1.67
Iowa,2001,01,1.42
Iowa,2001,02,2.16
Iowa,2001,03,1.30
Iowa,2001,04,3.60
Iowa,2001,05,7.04
Iowa,2001,06,4.07
Iowa,2001,07,3.12
Iowa,2001,08,2.97
Iowa,2001,09,4.07
Iowa,2001,10,2.46
Iowa,2001,11,1.55
Iowa,2001,12,0.83
Iowa,2002,01,0.40
Iowa,2002,02,0.89
Iowa,2002,03,1.16
Iowa,2002,04,3.62
Iowa,2002,05,4.10
Iowa,2002,06,3.51
Iowa,2002,07,4.24
Iowa,2002,08,5.81
Iowa,2002,09,1.71
Iowa,2002,10,3.58
Iowa,2002,11,0.22
Iowa,2002,12,0.24
Iowa,2003,01,0.39
Iowa,2003,02,0.82
Iowa,2003,03,1.15
Iowa,2003,04,3.25
Iowa,2003,05,4.61
Iowa,2003,06,4.48
Iowa,2003,07,4.11
Iowa,2003,08,1.03
Iowa,2003,09,3.11
Iowa,2003,10,1.00
Iowa,2003,11,3.46
Iowa,2003,12,1.28
Iowa,2004,01,0.96
Iowa,2004,02,1.17
Iowa,2004,03,3.75
Iowa,2004,04,1.85
Iowa,2004,05,7.74
Iowa,2004,06,3.55
Iowa,2004,07,4.33
Iowa,2004,08,4.56
Iowa,2004,09,2.66
Iowa,2004,10,2.05
Iowa,2004,11,2.21
Iowa,2004,12,0.58
Iowa,2005,01,1.31
Iowa,2005,02,1.52
Iowa,2005,03,1.05
Iowa,2005,04,3.45
Iowa,2005,05,3.85
Iowa,2005,06,5.25
Iowa,2005,07,3.27
Iowa,2005,08,3.02
Iowa,2005,09,3.29
Iowa,2005,10,0.91
Iowa,2005,11,1.75
Iowa,2005,12,1.17
Iowa,2006,01,0.99
Iowa,2006,02,0.32
Iowa,2006,03,3.17
Iowa,2006,04,4.30
Iowa,2006,05,2.44
Iowa,2006,06,2.49
Iowa,2006,07,3.22
Iowa,2006,08,5.75
Iowa,2006,09,4.22
Iowa,2006,10,1.64
Iowa,2006,11,1.77
Iowa,2006,12,2.09
Iowa,2007,01,0.91
Iowa,2007,02,1.68
Iowa,2007,03,2.86
Iowa,2007,04,4.57
Iowa,2007,05,5.35
Iowa,2007,06,3.38
Iowa,2007,07,3.38
Iowa,2007,08,9.69
Iowa,2007,09,2.87
Iowa,2007,10,5.10
Iowa,2007,11,0.18
Iowa,2007,12,2.44
Iowa,2008,01,0.68
Iowa,2008,02,1.71
Iowa,2008,03,1.26
Iowa,2008,04,5.86
Iowa,2008,05,5.67
Iowa,2008,06,8.88
Iowa,2008,07,5.88
Iowa,2008,08,1.96
Iowa,2008,09,4.16
Iowa,2008,10,3.26
Iowa,2008,11,1.72
Iowa,2008,12,1.88
Iowa,2009,01,0.68
Iowa,2009,02,0.79
Iowa,2009,03,2.97
Iowa,2009,04,3.60
Iowa,2009,05,3.64
Iowa,2009,06,5.29
Iowa,2009,07,4.62
Iowa,2009,08,5.75
Iowa,2009,09,1.73
Iowa,2009,10,6.35
Iowa,2009,11,1.19
Iowa,2009,12,2.54
Iowa,2010,01,1.30
Iowa,2010,02,0.96
Iowa,2010,03,1.72
Iowa,2010,04,3.70
Iowa,2010,05,4.19
Iowa,2010,06,10.28
Iowa,2010,07,7.89
Iowa,2010,08,4.83
Iowa,2010,09,5.40
Iowa,2010,10,0.91
Iowa,2010,11,1.64
Iowa,2010,12,1.23
Iowa,2011,01,0.94
Iowa,2011,02,1.39
Iowa,2011,03,1.50
Iowa,2011,04,3.81
Iowa,2011,05,5.00
Iowa,2011,06,6.19
Iowa,2011,07,3.40
Iowa,2011,08,3.02
Iowa,2011,09,1.68
Iowa,2011,10,0.74
Iowa,2011,11,2.08
Iowa,2011,12,2.08
Iowa,2012,01,0.57
Iowa,2012,02,1.68
Iowa,2012,03,1.91
Iowa,2012,04,3.90
Iowa,2012,05,3.51
Iowa,2012,06,2.81
Iowa,2012,07,1.17
Iowa,2012,08,2.88
Iowa,2012,09,1.62
Iowa,2012,10,2.98
Iowa,2012,11,1.05
Iowa,2012,12,1.53
Iowa,2013,01,0.95
Iowa,2013,02,1.27
Iowa,2013,03,2.09
Iowa,2013,04,6.43
Iowa,2013,05,8.65
Iowa,2013,06,4.89
Iowa,2013,07,1.74
Iowa,2013,08,1.49
Iowa,2013,09,1.94
Iowa,2013,10,2.78
Iowa,2013,11,1.59
Iowa,2013,12,0.62
Iowa,2014,01,0.43
Iowa,2014,02,1.50
Iowa,2014,03,0.81
Iowa,2014,04,4.65
Iowa,2014,05,3.04
Iowa,2014,06,9.66
Iowa,2014,07,3.30
Iowa,2014,08,5.92
Iowa,2014,09,4.35
Iowa,2014,10,3.17
Iowa,2014,11,0.76
Iowa,2014,12,1.10
Iowa,2015,01,0.52
Iowa,2015,02,1.11
Iowa,2015,03,0.56
Iowa,2015,04,3.37
Iowa,2015,05,5.06
Iowa,2015,06,6.38
Iowa,2015,07,5.51
Iowa,2015,08,5.29
Iowa,2015,09,4.18
Iowa,2015,10,1.76
Iowa,2015,11,4.08
Iowa,2015,12,4.71
Kansas,2000,01,0.42
Kansas,2000,02,1.61
Kansas,2000,03,4.16
Kansas,2000,04,1.35
Kansas,2000,05,2.67
Kansas,2000,06,4.25
Kansas,2000,07,3.68
Kansas,2000,08,0.62
Kansas,2000,09,1.01
Kansas,2000,10,3.98
Kansas,2000,11,1.24
Kansas,2000,12,0.49
Kansas,2001,01,1.31
Kansas,2001,02,2.46
Kansas,2001,03,1.48
Kansas,2001,04,1.81
Kansas,2001,05,5.26
Kansas,2001,06,3.81
Kansas,2001,07,3.71
Kansas,2001,08,2.40
Kansas,2001,09,3.55
Kansas,2001,10,1.11
Kansas,2001,11,0.58
Kansas,2001,12,0.27
Kansas,2002,01,1.06
Kansas,2002,02,0.42
Kansas,2002,03,0.53
Kansas,2002,04,2.34
Kansas,2002,05,3.90
Kansas,2002,06,2.74
Kansas,2002,07,1.72
Kansas,2002,08,3.09
Kansas,2002,09,1.50
Kansas,2002,10,4.43
Kansas,2002,11,0.24
Kansas,2002,12,0.47
Kansas,2003,01,0.18
Kansas,2003,02,1.15
